date;opening;closing;lowest;highest;volume;quantity;amount;avg_price
2021-05-21;222997.40543;204598.99995;185100.0;224498.98611;61580977.73345599;299.77588754;19287;205423.38557913
2021-05-22;204598.97997;206987.37192;195000.0;212499.99961;15223477.37258505;73.64252121;7720;206721.29528501
2021-05-23;206986.3663;195396.74997;174000.0;206986.3663;50743941.77444435;270.44106592;18862;187634.01038945
2021-05-24;194800.05189;206500.0;191000.1;216490.0;46540065.58326891;225.52843052;16149;206360.08274416
2021-05-25;206987.59639;210000.0;197001.03;211000.0;23037015.4471387;113.28240689;10536;203359.16299437
2021-05-26;209406.02004;203879.99996;202000.0;216400.0;25204297.42450967;120.09183746;12007;209875.19183312
2021-05-27;203879.13;203573.87972;201500.01;215000.0;16553102.98295724;79.37291655;9636;208548.50372708
2021-05-28;203573.87996;192142.59912;181832.13361;209000.0;43099443.74646073;223.2002871;17161;193097.61786798
2021-05-29;192142.87149;183225.99982;176548.97331;196999.11996;18051617.85534782;98.50038598;9343;183264.43775573
2021-05-30;183225.99949;185445.78996;183225.98979;193999.97;7511324.56440204;39.64105772;5467;189483.45469128
2021-05-31;185280.57997;192999.99999;183010.00009;198198.0;20610434.12991421;106.20043258;9050;194071.09396083
2021-06-01;193000.0;187999.99999;186400.0;195729.99957;12889122.57094304;68.04365326;7757;189424.31735401
2021-06-02;188000.0;190509.11988;187999.99;194430.0;16929976.41265806;88.37625193;7099;191567.03348392
2021-06-03;190509.11988;192835.06999;190206.1122;198542.0;16606344.84690165;85.05542259;7704;195241.45952399
2021-06-04;192835.06998;189670.0;183503.01;194290.99998;17229096.74729262;91.68245565;8187;187921.41446412
2021-06-05;189669.99997;184109.48884;178000.0;190972.83572;13113490.11762981;71.68718047;6842;182926.57110832
2021-06-06;184109.48724;185755.2018;180500.0;186000.0;6693428.07458883;36.51396148;4381;183311.47329097
2021-06-07;185755.27278;166998.84971;165246.53188;185952.43;21217400.50379805;121.04103131;11933;175290.9759126
2021-06-08;166998.78965;167601.01801;157000.0;172381.01944;34968663.11198431;211.7776005;14508;165119.74368122
2021-06-09;167892.07311;189002.02016;151463.0;192693.43;39332064.58031565;217.03520285;15074;181224.35468452
2021-06-10;189004.30341;185500.0022;182900.0;196500.0;21542477.43701034;113.58317596;10233;189662.57330748
2021-06-11;185994.39;184412.03;184412.03;192693.41999;15731958.87542484;82.82756261;7404;189936.27698065
2021-06-12;184290.96;183400.1001;181001.0;187899.98833;9174590.74219839;49.85591027;4559;184022.12882108
2021-06-13;183400.10005;200300.47982;180667.70003;205000.0;24156435.64278213;123.40722439;10398;195745.71717488
2021-06-14;200299.99;204449.99996;199000.0;209997.99999;27048036.84793906;131.75711777;13612;205287.10179555
2021-06-15;204449.99996;203583.00012;202000.0;209999.9991;18268487.10657133;89.0192069;9009;205219.61206746
2021-06-16;203583.00012;198157.12467;195000.0;205398.74202;19904241.26095896;100.26802488;8693;198510.35546756
2021-06-17;198908.32976;192593.33439;189108.88059;201999.5795;14162874.41953994;72.82398687;7543;194480.89878438
2021-06-18;192489.82843;183469.09001;180000.0;193559.52133;18541710.68275611;99.79344125;8193;185800.89483341
2021-06-19;183469.09001;183498.55;180213.33139;188648.87777;8672624.62998749;47.01741088;4080;184455.59778104
2021-06-20;183498.55;181708.32;173060.0;186887.99996;17470960.74206588;97.52536656;7077;179142.73340687
2021-06-21;182018.62236;167597.94809;158000.0;182018.62236;47640150.72831583;286.48516078;19363;166291.86167481
2021-06-22;167597.93803;170999.9999;145384.09010999;173687.49810999;41674537.1108284;263.12590092;15852;158382.49661138
2021-06-23;170999.98899;163989.88115999;163120.0;175899.97999;24949660.44089081;147.17207436;8420;169527.13719221
2021-06-24;163986.93406;174504.99921;163301.40007;175000.0;10743464.67944921;62.7754602;6108;171141.15364859
2021-06-25;174304.98987;160671.89979;156899.99001;174999.9;22370413.95218015;137.14271527;8474;163117.77047828
2021-06-26;160000.4935;165947.52494;152111.72000999;166158.94;10915485.07998229;69.37185535;5941;157347.45776814
2021-06-27;165947.52566;172001.00002;163314.07256;174499.99985;12972322.91685027;76.74209503;5870;169037.90431808
2021-06-28;172299.99895;170968.94996;169154.77828;175000.0;10383205.15387176;60.49268289;6326;171643.98498827
2021-06-29;170968.94981;178359.55703;170277.00398;181999.98999;17713063.43370487;99.24462521;9129;178478.81833625
2021-06-30;178352.48252;172099.97935;170876.54026;178352.48252;12502133.1537627;71.88588369;6926;173916.38680657
2021-07-01;172099.97;169499.98473;166158.94001;172997.97999;12334666.87348043;72.89391727;6535;169213.9390423
2021-07-02;169499.98476;170774.82507;166813.5;171999.99434;7461405.98971885;43.9787754;4516;169659.24862289
2021-07-03;170720.81062;174301.6763;170000.0;176893.66474;6671943.05418614;38.11618137;4361;175042.27376348
2021-07-04;174303.09013;174611.91518;173582.21341999;181500.0;10878779.20531866;61.10114527;5698;178045.42218065
2021-07-05;174611.91259;173769.51999999;170000.0;175456.57;12812224.84633381;74.05219011;6034;173016.15019491
2021-07-06;173999.99887;177569.03;173161.50529999;178382.32;9537369.81829087;54.04502552;5922;176470.81718485
2021-07-07;177569.03;176550.00979;175059.0;183000.0;15208570.27461641;84.47574256;8701;180034.76280559
2021-07-08;176550.00979;174231.80126;171876.57600999;176550.00979;12597772.31465445;72.51478366;6449;173726.95164784
2021-07-09;174999.97996999;178139.57;172022.01;180976.97975;7355246.98411952;41.46469084;5121;177385.79097882
2021-07-10;178556.98769;177808.00019;175400.06091;180112.01;4511229.54132484;25.28921384;2823;178385.51921252
2021-07-11;177808.00025;180719.99997;177001.01759;181900.0;5560013.95009002;30.87188143;3308;180099.61468325
2021-07-12;180430.01925;173426.127;171000.0;181950.0;12593695.57157509;72.16244942;7453;174518.6821234
2021-07-13;173426.12;169995.68337;168030.0;174114.87740999;13271160.76391774;77.73363596;6017;170726.10331448
2021-07-14;169994.26774;168391.77033999;166100.0;171028.07769;12017596.38990967;71.2940178;5627;168563.88180593
2021-07-15;167802.02786;164683.01219;161600.00000999;168394.28539;11917263.83035716;72.65798203;7425;164018.64595464
2021-07-16;164683.01;161983.75698;161100.0;166418.39352;7477850.20178965;45.62814462;4654;163886.79101608
2021-07-17;161983.73506;166389.61975;161606.26999999;167979.99852;3529856.44074445;21.49090451;2432;164248.85416535
2021-07-18;166300.01;163283.00088;162528.00000999;166886.68497;3698845.30581155;22.54317522;2187;164078.27511938
2021-07-19;163644.17;160599.99998;160000.0;164500.0;8240904.58787049;50.94535825;4869;161759.67489384
2021-07-20;160582.0;156452.89747;155000.0;160620.96737;19898278.96825732;126.79295273;8488;156935.21240592
2021-07-21;156452.89539;166811.31876;156013.00408;171500.0;18213678.8095088;109.70560999;7192;166023.22170369
2021-07-22;165869.05398999;170248.78516999;165312.5142;171150.0;8844422.19696911;52.51349172;5382;168421.90277742
2021-07-23;170989.50120999;174995.85301;167000.0;176000.0;12448614.62459301;72.52184404;6469;171653.31065943
2021-07-24;175647.9769;177998.76863;174408.26937;179550.0;7790643.40264238;43.95578303;5187;177238.18950797
2021-07-25;177998.75961;197929.79445;176379.56;200000.0;24617909.082329;130.73992156;11000;188296.80168525
2021-07-26;197929.74104;189499.99996;189100.9941;209396.0;48620810.06575256;244.82428225;20690;198594.72115639
2021-07-27;189499.59101;205700.03001;188022.01;207666.66;25828982.15310075;130.16064718;11320;198439.25727706
2021-07-28;205700.03001;205550.09004;203000.0;211140.1;24040767.48330293;116.17814899;11426;206930.19894276
2021-07-29;205550.09;205000.00001;201468.0;209150.0;13131872.7622705;64.18732709;6376;204586.68957904
2021-07-30;205000.0;217095.10146;197100.0001;219501.0;33330513.49522936;158.81155429;13254;209874.61299173
2021-07-31;217590.80864;216466.0;214000.0;218713.00326;12417403.00823257;57.61094474;7146;215538.95816624
2021-08-01;216466.0;207200.0;205000.0;218860.4;18368157.84680642;87.08565823;7785;210920.58348223
2021-08-02;207200.0;202800.0;201630.0;209363.88999;18995310.26669008;92.89453819;8028;204482.53080109
2021-08-03;202999.99473;199442.97;197131.8;203845.47997;16946778.5447653;84.65843958;7842;200178.25309372
2021-08-04;199442.97865;204410.0;196000.0;207999.99;18658263.9628223;91.24157359;8470;204493.00936724
2021-08-05;204409.98988;210855.6;195000.0;214736.84443;32553005.95852574;157.19755416;13235;207083.41254083
2021-08-06;210903.19997;226519.4;209072.00001;226883.6;37884404.13038838;172.03205891;16531;220217.11749789
2021-08-07;226676.09997;232010.3;223953.0;237000.0;26476490.93568369;115.03664534;13503;230157.01524875
2021-08-08;232010.29;228738.0899;225168.73001;238000.0;22876905.07882694;98.64829024;9308;231903.71595057
2021-08-09;228738.0899;241785.50061;227539.84013;244900.0;38265900.15552079;159.63649519;15792;239706.46630632
2021-08-10;242471.49793;237134.8;233573.3;243000.0;26124614.22679644;109.59131664;13188;238382.1549714
2021-08-11;237372.92075;242399.99999;237372.92075;244400.0;18050528.96749429;74.68556886;11520;241686.97170038
2021-08-12;242399.99996;239596.68001;230382.0;242545.7;21307946.05876059;90.42626269;11557;235638.91091915
2021-08-13;239664.9012;249999.95999;238690.0;251772.29999;24913887.0862713;101.27422946;14036;246004.2127115
2021-08-14;249999.96;248661.1;244000.0;251700.0;12632625.42686534;51.07524136;7471;247333.64131997
2021-08-15;248837.8;253005.0;243468.0;253005.0;14817833.08383624;59.7150085;7568;248142.52657832
2021-08-16;253005.0;245999.99;240867.01;253005.0;19713251.71701761;80.09122168;11461;246134.98587624
2021-08-17;245999.99;239727.06;237115.15;249000.0;16902514.44861556;69.88194729;9749;241872.40201639
2021-08-18;239727.39;241653.99941;238288.4;247341.9;10850365.74789633;44.67892762;7024;242851.97353392
2021-08-19;241437.5;253676.37;239500.0;253995.0;24302671.82273926;97.62861208;12090;248929.80966302
2021-08-20;253676.35;262983.46999999;250405.7;264999.9998;29862499.11633869;115.16347756;15100;259305.29147819
2021-08-21;263000.01;263839.49415;260059.9;267500.0;12854419.22509099;48.63611465;7963;264297.82308054
